county,location,deficiency_status,sufficiency_rating,bridge_id,year_built,average_daily_travel,deck_condition,superstructure_condition,substructure_condition,rating_deck_condition,rating_superstructure_condition,rating_substructure_condition
McHenry,Deerpass Road over Kishwaukee R. N. Ch. at 0.7 mi N Ill 176,Structurally deficient,43%,56302900000000,1966,1550,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
McHenry,Deerpass Road over Kishwaukee R. S. Ch. at 0.6 mi. N. Ill. 176,Structurally deficient,27%,56303000000000,1966,1550,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Cook,Division St over Cal Sag Channel at 0.2M.S.Vermont St P4,Structurally deficient,33%,16500500000000,1964,1350,4-Poor condition,1-Imminant failure condition,3-Serious condition,4,1,3
Will,I- 80 WB to Medow over Center SB to I-80 EB at 0.25 SW US52-N I80,Structurally deficient,73%,99007500000000,1966,1300,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Lake,Market St-Il 120Rm over Unused Land at 2 Ft E Sheridan Rd,Structurally deficient,85%,49015100000000,1966,1250,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Cook,135th St (Abandone over Ashland Ave at 1.5 mi N IL 83,Structurally deficient,65%,16100400000000,1934,1250,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Kane,Dauberman Road over Welch Creek at N. of U.S. 30,Structurally deficient,68%,45310700000000,1975,1200,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Will,Shepley Rd over Du Page Riv at 0.5 mi SE River Rd,Structurally deficient,48%,99425200000000,1980,1050,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Kane,Sheffer Road over Indian Creek at 0.1 mi E Farnsworth,Structurally deficient,31%,45308600000000,1933,1050,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Will,Baker Rd over Jackson Cr at 0.4 mi E US-52,Structurally deficient,53%,99315400000000,1923,900,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Kane,Seavey Road over Lake Run at .8 mi E of Bliss Rd,Structurally deficient,49%,45332000000000,1981,850,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
McHenry,Lawrence Road over Lawrence Cr Trib at 1 mi N of Ramer Road,Structurally deficient,25%,56301200000000,1941,850,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Cook,Lemoyne St over Addison Cr at 0.14 mi S North P20,Structurally deficient,38%,16761600000000,1960,750,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Will,Aberdeen Road over Hickory Creek Trib at 0.3 mi W of Harlem,Structurally deficient,55%,99601700000000,1980,625,4-Poor condition,4-Poor condition,8-Very good condition,4,4,8
McHenry,Oak Grove Road over drainage ditch at 0.7 Mi. SW US 14,Structurally deficient,19%,56303500000000,1935,600,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Lake,Greenwood Ave over C&NW RR at 0.5 mi E Sheridan Rd,Structurally deficient,86%,49995200000000,1972,525,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
McHenry,Lake View Drive over Island Lake at N of Ill 176,Structurally deficient,42%,56635000000000,1975,500,4-Poor condition,4-Poor condition,3-Serious condition,4,4,3
McHenry,N. Union Rd over Kishwaukee River at 0.8 Mi. N. Ill. 176,Structurally deficient,37%,56302600000000,1966,500,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Palmer Av over Addison Creek at 0.1 MI W Wolf Rd,Structurally deficient,49%,16762000000000,1961,400,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Armitage Av over Addison Creek at 0.1 MI W Wolf Rd,Structurally deficient,68%,16761900000000,1961,300,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,Parkview Dr over Addison Cr at 0.08 mi N North P9,Structurally deficient,60%,16761100000000,1965,300,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Cook,Brookwood Dr over Butterfield Creek at 26 W 197S P21,Structurally deficient,47%,16632400000000,1963,300,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Birchwood Ln 207T over Butterfield Cr at 1.4 mi E I57 P21,Structurally deficient,38%,16744500000000,1964,300,4-Poor condition,3-Serious condition,7-Good condition,4,3,7
DuPage,Stonebridge Trail over Spring Brook at 6 Ft S Sprng Green,Structurally deficient,95%,22720100000000,1970,200,4-Poor condition,6-Satisfactory condition,7-Good condition,4,6,7
DuPage,Beecher Avenue over W. Br. Dupage River at 0.25 mi W Winfield Rd,Structurally deficient,67%,22303200000000,1956,200,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Will,Stonebridge Road over Hickory Creek Trib at 0.01 mi N of Ironwood,Structurally deficient,65%,99601400000000,1980,200,4-Poor condition,4-Poor condition,8-Very good condition,4,4,8
Cook,Wedgewood Drive over Addison Creek at 0.5 MI E.of US 45,Structurally deficient,59%,16323100000000,1952,200,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Will,Richards Street over Hickory Creek at 150 Ft S Fifth Ave,Structurally deficient,34%,99646100000000,1930,175,4-Poor condition,3-Serious condition,4-Poor condition,4,3,4
Lake,Cunningham Court over Sherman Comer Creek at 990 E Hunt Club Dr,Structurally deficient,97%,49616200000000,2007,150,4-Poor condition,6-Satisfactory condition,8-Very good condition,4,6,8
Kane,I C Trail over Virgil Drn ditch #2 at .7 mi E of Il64,Structurally deficient,67%,45309800000000,1974,125,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
McHenry,Bunker Hill Road over Rush Creek at 0.8 mi W of IL 23,Structurally deficient,50%,56307000000000,1962,125,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
McHenry,Bunker Hill Road over drainage ditch at 1.8 MI west of IL 23,Structurally deficient,49%,56310700000000,1970,125,4-Poor condition,4-Poor condition,8-Very good condition,4,4,8
Will,Ars-Wilton Ctr.Rd. over Forked Creek at 0.1M.W.of Wilton Ctr,Structurally deficient,38%,99485900000000,1990,125,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Cook,West-Ele Service R over 26th St Connection at Bt W-E Pk Lot,Structurally deficient,88%,16246500000000,1900,100,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
McHenry,White Oaks Rd over W Branch Piscasaw Cr at 1.8 MI N Perkins Rd,Structurally deficient,67%,56304300000000,1947,75,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
McHenry,Carls Road over Coon Creek at 0.7 mi N of IL 23,Structurally deficient,87%,56306100000000,1953,50,4-Poor condition,6-Satisfactory condition,7-Good condition,4,6,7
McHenry,Edwards Rd over Fox River Inlet at 0.5 N Algonquin Rd,Structurally deficient,17%,56991700000000,1900,0,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Lake Shore Drive over Wilson Avenue at 46 N & 732 W,Structurally deficient,36%,16618400000000,1933,102500,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Cook,Lake Shore Drive over Lawrence Ave at 48 N & 7 W,Structurally deficient,36%,16618300000000,1933,98700,5-Fair condition,3-Serious condition,5-Fair condition,5,3,5
Cook,I90 WB (NW Toll) over Ill 62 (Oakton St) at I90 at Ill 62 P5,Structurally deficient,51%,16986800000000,1958,61700,5-Fair condition,6-Satisfactory condition,4-Poor condition,5,6,4
Cook,I90 EB (NW Toll) over Ill 62 (Oakton St) at I90 at Ill 62 P5,Structurally deficient,51%,16997400000000,1958,61700,5-Fair condition,6-Satisfactory condition,4-Poor condition,5,6,4
Cook,US 20 over Poplar Creek at 0.26 mi E Kane Co,Structurally deficient,62%,16021700000000,1959,48900,5-Fair condition,4-Poor condition,6-Satisfactory condition,5,4,6
Will,I- 80 WB over RR & Gardner St at 0.1 mi E of Il-53,Structurally deficient,36%,99006100000000,1964,41850,5-Fair condition,3-Serious condition,6-Satisfactory condition,5,3,6
Will,I- 80 EB over RR & Gardner St at 0.1 mi E of Il-53,Structurally deficient,36%,99006000000000,1964,41850,5-Fair condition,3-Serious condition,6-Satisfactory condition,5,3,6
Will,I- 80 EB over Center SB to I-80 EB at 0.3 mi W of US-6,Structurally deficient,42%,99005500000000,1965,41150,5-Fair condition,3-Serious condition,7-Good condition,5,3,7
Cook,Il 43 NB (Harlem) over RR - Cn & Mwrd Sludg at 0.2 mi N I-55,Structurally deficient,25%,16031400000000,1931,39800,5-Fair condition,3-Serious condition,5-Fair condition,5,3,5
Cook,I- 90 94 NB to 290 over I- 90 94 at 0.4 mi N Roosvlt Rd,Structurally deficient,37%,16244900000000,1960,30000,5-Fair condition,5-Fair condition,4-Poor condition,5,5,4
Cook,127th St over Cal Sag Channel at 0.2 mi E IL 83,Structurally deficient,24%,16057000000000,1968,26500,5-Fair condition,3-Serious condition,5-Fair condition,5,3,5
Cook,US 6 Il83 Torren over Little Cal River at 0.5 mi S US 6,Structurally deficient,23%,16093600000000,1923,25400,5-Fair condition,3-Serious condition,5-Fair condition,5,3,5
Cook,Il 1 (Halsted St over RR - Ihb at 1.1 mi N IL 83,Structurally deficient,23%,16019500000000,1927,18700,5-Fair condition,3-Serious condition,3-Serious condition,5,3,3
Cook,Il 1 (Halsted St over RR- CSXt at 1.5 mi N IL 83,Structurally deficient,23%,16019400000000,1935,18700,5-Fair condition,3-Serious condition,3-Serious condition,5,3,3
Lake,Deerfield Rd over RR - Up & Old Skokie at 0.3 mi W of US 41,Structurally deficient,53%,49007300000000,1962,18200,5-Fair condition,3-Serious condition,5-Fair condition,5,3,5
Cook,130th St over Little Calumet River at 130 S. & 2050 E,Structurally deficient,49%,16608900000000,1949,16600,5-Fair condition,5-Fair condition,4-Poor condition,5,5,4
Cook,Joe Orr Rd over Thorn Creek at 0.5 mi E IL 1,Structurally deficient,21%,16091900000000,1958,14800,5-Fair condition,3-Serious condition,6-Satisfactory condition,5,3,6
Cook,Grand Ave over Land at 530 N. & 540 W.,Structurally deficient,53%,16627600000000,1888,14000,5-Fair condition,6-Satisfactory condition,4-Poor condition,5,6,4
Will,US 30 WB over Des Plaines River at 0.8 mi W of IL 171,Structurally deficient,42%,99010100000000,1933,13900,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Cook,State St over RR Tracks & Carroll at 0E/W & 4N.To 3N.,Structurally deficient,65%,16612900000000,1949,12050,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Cook,Lake St over S Br Chicago Riv at 356 W Lake St,Structurally deficient,6%,16602900000000,1916,11000,5-Fair condition,2-Critical condition,4-Poor condition,5,2,4
Will,Cedar Road over Spring Creek at 1.1 mi N US 6,Structurally deficient,38%,99302200000000,1957,10500,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Cook,Canal St over Union Station at 5N & 2S to 3S,Structurally deficient,60%,16651500000000,1926,10400,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Cook,39th St (Pershing) over Racine Ave & RR at 1.3 W I-94,Structurally deficient,2%,16039600000000,1936,9450,5-Fair condition,4-Poor condition,3-Serious condition,5,4,3
Kane,Ohio St over B.N.RRand Indian Cr at Aurora .8 mi E Ill 25,Structurally deficient,47%,45994300000000,1900,9350,5-Fair condition,4-Poor condition,4-Poor condition,5,4,4
Cook,N Clark St over Main Br Chicago Riv at 307 N Clark,Structurally deficient,48%,16601000000000,1929,9200,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Cook,Bryn Mawr Ave over N Shore Channel at 56 N & 31 W,Structurally deficient,51%,16607400000000,1968,8350,5-Fair condition,7-Good condition,4-Poor condition,5,7,4
Cook,Harrison St over Union St Trks at 6S.& 360W. to 5W,Structurally deficient,32%,16626200000000,1921,6900,5-Fair condition,3-Serious condition,3-Serious condition,5,3,3
Cook,Kinzie St over N Br Chicago Riv at 423 W Kinzie,Structurally deficient,45%,16602800000000,1909,6650,5-Fair condition,5-Fair condition,4-Poor condition,5,5,4
Cook,Il 171 NB to I-55 over San & Ship Canal at 1 mi N Archer Ave,Structurally deficient,68%,16240800000000,1981,6400,5-Fair condition,5-Fair condition,4-Poor condition,5,5,4
Cook,Washington St over S Br Chicago Riv at 384 W Washington,Structurally deficient,48%,16605300000000,1913,4510,5-Fair condition,4-Poor condition,4-Poor condition,5,4,4
DuPage,Arlington over W. Branch Dupage Riv at 0.5 Mi. S. Rt 20,Structurally deficient,21%,22745100000000,1970,3500,5-Fair condition,3-Serious condition,5-Fair condition,5,3,5
Lake,Sampson Street over Pettibone Creek at 0.5 km S of Decatur Ave,Structurally deficient,37%,1IL00S9,1926,1260,5-Fair condition,4-Poor condition,5-Fair condition,5,4,5
Lake,Mac Gillis Dr over Squaw Creek at 0.1 mi S IL 134,Structurally deficient,26%,49770000000000,1974,1150,5-Fair condition,5-Fair condition,6-Satisfactory condition,5,5,6
Lake,Barry Street over Pettibone Creek at 0.5 km S of Decatur Ave,Structurally deficient,18%,1IL00S2,1911,1050,5-Fair condition,4-Poor condition,4-Poor condition,5,4,4
Will,Commerce St over Milne Creek at 2 Ft N 8th Street,Structurally deficient,33%,99650200000000,1960,750,5-Fair condition,7-Good condition,5-Fair condition,5,7,5
Lake,Judson Ave over Ravine at .1 E C&NW 1 mi N Co L,Structurally deficient,55%,49657800000000,1963,700,5-Fair condition,4-Poor condition,7-Good condition,5,4,7
DuPage,Williams Road over West Br Dupage R at 0.1 mi N Batavia Rd,Structurally deficient,34%,22302400000000,1930,500,5-Fair condition,4-Poor condition,4-Poor condition,5,4,4
Will,Ill 7 Frnt. Rd over Desplaines Riv at .36M E of Ill 53,Structurally deficient,35%,99013500000000,1957,450,5-Fair condition,2-Critical condition,7-Good condition,5,2,7
Will,I- 55 West Frnt Rd over Sunnyland Drain at 1.8 mi S of US 30,Structurally deficient,53%,99003700000000,1959,350,5-Fair condition,5-Fair condition,4-Poor condition,5,5,4
McHenry,Paulsen Rd over N Br Kishwaukee Riv at 1.7 mi S of Streit R,Structurally deficient,30%,56307100000000,1959,125,5-Fair condition,5-Fair condition,3-Serious condition,5,5,3
Cook,I- 90 94 NB Elv Lo over Wells to 29th Pl at 0.6 mi S I-55,Structurally deficient,35%,16111800000000,1962,111750,6-Satisfactory condition,5-Fair condition,4-Poor condition,6,5,4
Will,I- 80 EB over Ds Plns Riv & US-6 at 1.5 mi E of Il-7,Structurally deficient,25%,99005600000000,1965,41000,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Will,I- 80 WB over Ds Plns Riv & US-6 at 1.5 mi E of Il-7,Structurally deficient,25%,99005700000000,1965,41000,6-Satisfactory condition,4-Poor condition,6-Satisfactory condition,6,4,6
Cook,Harlem Ave NB Ill over San & Ship Canal at 0.1 mi N I55,Structurally deficient,51%,16031500000000,1931,39800,6-Satisfactory condition,4-Poor condition,4-Poor condition,6,4,4
Cook,Michigan Ave over Main Br Chicago Riv at 365 N Mchigan Ave,Structurally deficient,44%,16603500000000,1920,39700,6-Satisfactory condition,4-Poor condition,6-Satisfactory condition,6,4,6
Cook,Cicero Ave over Sanitary Ship Canal at 40 S & 48 W,Structurally deficient,49%,16600900000000,1927,37600,6-Satisfactory condition,3-Serious condition,4-Poor condition,6,3,4
Cook,Il 50/83 Cicero A over Cal Sag Channel at 0.4 mi S of 127th St,Structurally deficient,22%,16042100000000,1938,36400,6-Satisfactory condition,3-Serious condition,6-Satisfactory condition,6,3,6
Cook,Fullerton Ave over N Br Chicago River at 24 N & 19 W,Structurally deficient,48%,16608000000000,1896,27500,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Will,IL 53 over Hickory Creek at 0.1 mi S of I-80,Structurally deficient,50%,99008300000000,1967,26400,6-Satisfactory condition,4-Poor condition,4-Poor condition,6,4,4
Will,Il 7 over S&S Canal/Des Plns R at 0.5 mi W of IL 171,Structurally deficient,56%,99018500000000,1971,23900,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
DuPage,Washington St over West Branch at Wash. St. 1M S US 34,Structurally deficient,7%,22003000000000,1976,22000,6-Satisfactory condition,2-Critical condition,7-Good condition,6,2,7
Cook,Chicago Av & Halst over C&NW RR at 8 N. & 8 W.,Structurally deficient,67%,16611100000000,1968,18500,6-Satisfactory condition,5-Fair condition,4-Poor condition,6,5,4
Cook,S. California Ave over Sanitary&Ship Canal at 33 S & 28 W,Structurally deficient,49%,16600500000000,1926,16900,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Cook,Western Av/31St over Sanitary&Ship Canal at 31 S Western Ave,Structurally deficient,64%,16605600000000,1940,14700,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Cook,Ewing Ave(US-41) over Calumet River at 3331 E. 92nd Street,Structurally deficient,59%,16603700000000,1914,13400,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Cook,State St over Main Br Chicago Riv at 309 N State P,Structurally deficient,52%,16604800000000,1949,12050,6-Satisfactory condition,4-Poor condition,6-Satisfactory condition,6,4,6
Cook,Adams St over S Br Chicago Riv at 1 S & 380 W,Structurally deficient,47%,16600100000000,1927,11400,6-Satisfactory condition,4-Poor condition,4-Poor condition,6,4,4
Cook,31st Street over Metra Elec & Cn at 31 S & 628 E,Structurally deficient,23%,16617300000000,1921,11200,6-Satisfactory condition,5-Fair condition,3-Serious condition,6,5,3
Cook,Grand Ave over N Br Chicago River at 462 W & 9 N,Structurally deficient,25%,16602100000000,1913,11100,6-Satisfactory condition,3-Serious condition,3-Serious condition,6,3,3
Cook,Webster Ave over N Br Chicago River at 16 W Webster P3C,Structurally deficient,39%,16605700000000,1916,10600,6-Satisfactory condition,3-Serious condition,4-Poor condition,6,3,4
Cook,95th St over Calumet River at 3258 E.95th Street,Structurally deficient,31%,16603800000000,1958,10250,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Lake,Park Ave (W) over Skokie ditch at .2 mi E 41,Structurally deficient,37%,49659200000000,1950,9000,6-Satisfactory condition,6-Satisfactory condition,4-Poor condition,6,6,4
McHenry,Chapel Hill Rd over Fox River at 0.3 mi NW of Bay Rd,Structurally deficient,41%,56313400000000,1938,8100,6-Satisfactory condition,6-Satisfactory condition,4-Poor condition,6,6,4
Will,Jackson St over Des Plaines River at 1.5 mi No. of I-80,Structurally deficient,45%,99023900000000,1932,8050,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Will,US 30 East Bound over Desplaines River at 0.8 mi W of Ill 171,Structurally deficient,44%,99016600000000,1933,7800,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Cook,I- 55 WB Rmp Il171 over Des Plaines River at 1.3 M SW IL 43,Structurally deficient,51%,16098700000000,1963,6400,6-Satisfactory condition,3-Serious condition,6-Satisfactory condition,6,3,6
Cook,106th St over Calumet River at 3228 E 106th Street,Structurally deficient,66%,16604300000000,1928,5800,6-Satisfactory condition,4-Poor condition,4-Poor condition,6,4,4
Will,Brandon Road over Des Plaines River at Brandon Road&Desp Rv,Structurally deficient,45%,99990300000000,1932,5550,6-Satisfactory condition,4-Poor condition,7-Good condition,6,4,7
Cook,Van Buren St over S Br Chicago River at 4 S & 361 W,Structurally deficient,45%,16605100000000,1956,4800,6-Satisfactory condition,4-Poor condition,5-Fair condition,6,4,5
Will,Washington Street over Spring Creek at 0.4 mi E of US 6,Structurally deficient,38%,99645000000000,1931,4650,6-Satisfactory condition,3-Serious condition,6-Satisfactory condition,6,3,6
Will,Il 102 over Rayns Creek at 6 mi S of IL 53,Structurally deficient,49%,99017000000000,1929,2450,6-Satisfactory condition,3-Serious condition,5-Fair condition,6,3,5
Cook,15th Avenue over Silver Creek at 3Ft S Il-64,Structurally deficient,31%,16747800000000,1949,2000,6-Satisfactory condition,4-Poor condition,7-Good condition,6,4,7
McHenry,Franklinville Road over Trib. Kishwaukee R. at 0.1 mi S Perkins Rd,Structurally deficient,25%,56301600000000,1954,1450,6-Satisfactory condition,4-Poor condition,7-Good condition,6,4,7
Lake,Cuba & Merry Oaks over Flint Creek at .25 mi S of US14,Structurally deficient,20%,49604900000000,1900,800,6-Satisfactory condition,2-Critical condition,5-Fair condition,6,2,5
Cook,South Water St over Beaubien Ct at Btwn Mich & Beaubien,Structurally deficient,57%,16651100000000,1971,500,6-Satisfactory condition,6-Satisfactory condition,4-Poor condition,6,6,4
Cook,Violet Ln over Butterfield Cr at 0.25 mi N US 30 P21,Structurally deficient,41%,16744600000000,1964,225,6-Satisfactory condition,3-Serious condition,7-Good condition,6,3,7
Will,Bauer Rd over Terry Creek at 2.5 W. Ill 113,Structurally deficient,41%,99307900000000,1975,200,6-Satisfactory condition,6-Satisfactory condition,4-Poor condition,6,6,4
Kane,Wheeler Road over Welch Creek at 0.2 mi W Daubermn Rd,Structurally deficient,40%,45310300000000,1974,125,6-Satisfactory condition,3-Serious condition,7-Good condition,6,3,7
Will,Cherry Hill Rd over Jackson Branch at 0.6 MI S.US52,Structurally deficient,49%,99318300000000,1900,35,6-Satisfactory condition,6-Satisfactory condition,4-Poor condition,6,6,4
DuPage,I- 55 over Lemont Rd at 1.5 mi NW Will County,Structurally deficient,61%,22000100000000,1960,148000,7-Good condition,4-Poor condition,4-Poor condition,7,4,4
Cook,I- 55 WB Stevenson over RR - BNSF at 0.6 mi E US 45,Structurally deficient,71%,16000900000000,1964,77600,7-Good condition,4-Poor condition,7-Good condition,7,4,7
Cook,I- 55 EB Stevenson over RR - BNSF at 0.6 mi E US 45,Structurally deficient,71%,16000800000000,1964,77600,7-Good condition,4-Poor condition,7-Good condition,7,4,7
Cook,Ohio St Feeder W A over RR - Up Trib Parking at 0.5 mi E I-94,Structurally deficient,68%,16106100000000,1956,39600,7-Good condition,4-Poor condition,6-Satisfactory condition,7,4,6
Cook,Touhy Ave over Des Plaines River at 0.3 mi E I-294,Structurally deficient,33%,16082900000000,1955,32600,7-Good condition,6-Satisfactory condition,4-Poor condition,7,6,4
Cook,Il 83 171 (Kinger over Cal Sag Channel at .1MI S of 171 N Jct,Structurally deficient,20%,16042700000000,1934,29400,7-Good condition,3-Serious condition,6-Satisfactory condition,7,3,6
Cook,Il 83 (Kingery Hw over S & S and I&M Canals at 0.4 mi N 107th St,Structurally deficient,39%,16042500000000,1934,28700,7-Good condition,4-Poor condition,6-Satisfactory condition,7,4,6
Cook,Foster Ave over N Shore Channel at 0.7 mi W US 41,Structurally deficient,47%,16025100000000,1935,23000,7-Good condition,4-Poor condition,4-Poor condition,7,4,4
Cook,Montrose Ave over I- 90 94 Jfk at 5.4 M NW IL 64,Structurally deficient,49%,16085200000000,1957,17200,7-Good condition,4-Poor condition,6-Satisfactory condition,7,4,6
Cook,Franklin-Orleans S over Main Br Chicago Riv at 302 N. Franklin St.,Structurally deficient,49%,16602000000000,1920,15800,7-Good condition,4-Poor condition,4-Poor condition,7,4,4
Kane,Il 31 over RR - BNSF at 0.5 mi S of US 30,Structurally deficient,49%,47000600000000,1960,10800,7-Good condition,3-Serious condition,5-Fair condition,7,3,5
Cook,Cortland St over N Br Chicago Riv at 1440 W Cortland,Structurally deficient,37%,16601100000000,1902,9900,7-Good condition,4-Poor condition,5-Fair condition,7,4,5
Cook,Jackson Blvd over S Br Chicago Riv at 375 W & 3 S,Structurally deficient,49%,16602600000000,1916,6900,7-Good condition,4-Poor condition,5-Fair condition,7,4,5
Kane,Nestler Road over Fitchie Creek at 0.75 mi NE Bowes Rd,Structurally deficient,31%,45332100000000,1981,5600,7-Good condition,3-Serious condition,5-Fair condition,7,3,5
Cook,139th St over RR - CSX & Ihb at 0.5 mi W Western Ave,Structurally deficient,53%,16099400000000,1960,4900,7-Good condition,4-Poor condition,5-Fair condition,7,4,5
DuPage,Clarendon Hills Rd over I- 55 at 0.5 mi W IL 83,Structurally deficient,70%,22008900000000,1960,3350,7-Good condition,4-Poor condition,6-Satisfactory condition,7,4,6
Cook,Lincoln St over Chi Met San Canal at 0.5 mi E Green Bayp6,Structurally deficient,62%,16695200000000,1908,1700,7-Good condition,5-Fair condition,4-Poor condition,7,5,4
McHenry,Justen Road over Tributary of Fox R. at 0.5 N Wright Rd,Structurally deficient,35%,56310800000000,1973,550,7-Good condition,3-Serious condition,4-Poor condition,7,3,4
Will,Walsh Rd. over Forked Creek at 2 N. Wilm. Pe. Rd,Structurally deficient,68%,99485400000000,1978,50,7-Good condition,4-Poor condition,7-Good condition,7,4,7
Cook,79th St over RR - CSXt at 0.6 mi W IL 43,Structurally deficient,56%,16051900000000,1956,23800,8-Very good condition,4-Poor condition,7-Good condition,8,4,7
Cook,Wabash Ave over Main Br Chicago Riv at 44 E & 326 N,Structurally deficient,62%,16605200000000,1930,4600,8-Very good condition,5-Fair condition,4-Poor condition,8,5,4
Cook,Derby Rd over Pine Needles Dr at 0.6M S Archer,Structurally deficient,24%,16735700000000,2003,4350,8-Very good condition,2-Critical condition,8-Very good condition,8,2,8
Lake,Coffin Road over Buffalo Creek at .5 mi N 53 1.0 mi W 83,Structurally deficient,27%,49715000000000,1925,2900,8-Very good condition,6-Satisfactory condition,4-Poor condition,8,6,4
Cook,S Carondolet Av over Wolf Lake Channel at 12650 S & 3050 E,Structurally deficient,56%,16652800000000,1998,1800,8-Very good condition,8-Very good condition,4-Poor condition,8,8,4
Cook,Access Rd Circular over Parking Entrance Rd at Ord Entrance Bridge,Structurally deficient,69%,16659500000000,1961,1000,8-Very good condition,4-Poor condition,5-Fair condition,8,4,5
Cook,Division St over N Br Chicago Riv Can at 829 W Division,Structurally deficient,7%,16601500000000,1903,15900,9-Excellent condition,9-Excellent condition,5-Fair condition,9,9,5
DuPage,Il 83 over Marion Hills/63rd St at 0.09 mi N of 63rd St,Structurally deficient,43%,22016700000000,1950,44200,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Will,Weber Rd. over Lilly Cache Creek at 1.6M.N.of I-55,Structurally deficient,38%,99333300000000,1988,29100,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Kane,Farnsworth Ave over Indian Creek at 1. MI S Ewtollway,Structurally deficient,20%,45601100000000,1970,23500,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Kane,Il 47 over Eakin Creek at 1.4 mi S of I-90,Structurally deficient,61%,45023100000000,1930,10050,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Cook,Ballard Rd over Creek at 0.5 mi E US 12,Structurally deficient,65%,16103400000000,1937,8150,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Lake,Hutchins Rd over Mill Creek at .5 mi N of Grand Ave,Structurally deficient,63%,49302300000000,1969,3350,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Will,Indian Boundry over Spring Hole Cr at 1.6M W of Il59,Structurally deficient,61%,99685700000000,1980,2000,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Lake,Central Ave over Ravine at 0.1 W Lake Michigan,Structurally deficient,34%,49655400000000,1935,1500,Not applicable/unknown,4-Poor condition,5-Fair condition,N,4,5
Will,Abe Street over Spring Creek at 0.25 mi N Jackson St,Structurally deficient,20%,99645900000000,1911,1100,Not applicable/unknown,3-Serious condition,5-Fair condition,N,3,5
Cook,31St Ave over Addison Cr at 0.6 mi E US 45,Structurally deficient,62%,16658100000000,1928,1000,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
DuPage,Timber Lane over Trib W. Br. Dupage R at 0.34 mi E. Fair Oaks,Structurally deficient,44%,22901500000000,1972,1000,Not applicable/unknown,Not applicable/unknown,Not applicable/unknown,N,N,N
Will,Garnsey Av over Spring Creek at 0.25 mi N Jackson St,Structurally deficient,37%,99646000000000,1911,900,Not applicable/unknown,4-Poor condition,4-Poor condition,N,4,4
Will,Ohio St over Spring Creek at .125 mi N Jackson St,Structurally deficient,37%,99645800000000,1912,900,Not applicable/unknown,3-Serious condition,5-Fair condition,N,3,5
